incident_unique_id,eyear,state,incidentnum,incidentname,emonth,eday,edoy,syear,smonth,sday,sdoy,area_km2,costs,fatalities,home.destroyed,home.threat,home.damage,comm.destroyed,comm.threat,comm.damage,max.pers,max.aerial,tot.pers,tot.aerial,max.agency.support,cause,confidence,geometry
"AL-ALS-0002|2002|1",2002,AL,AL-ALS-0002,SUM July,8,1,213,2002,6,15,166,0,0,0,1,13,0,0,0,0,0,0,0,0,0,Human,NF,10407017.3121425|1788439.90598378
"AL-ALS-05YTD919|2005|1",2005,AL,AL-ALS-05YTD919,Year to date,9,19,262,2005,9,19,262,0,0,0,16,725,15,0,0,0,0,0,0,0,0,Unk,L,10407017.3121425|1788439.90598378
"AL-ALS-061215|2006|1",2006,AL,AL-ALS-061215,End of Year,12,13,347,2006,12,13,347,0.404686,0,0,18,900,10,0,0,0,0,0,0,0,0,Human,L,10407017.3121425|1788439.90598378
"AL-ALS-2003-03|2003|1",2003,AL,AL-ALS-2003-03,May/June/July,10,2,275,2003,10,2,275,0,0,0,1,0,6,0,0,0,0,0,0,0,0,Unk,L,10407017.3121425|1788439.90598378
"AR-BUP-000601|2006|1",2006,AR,AR-BUP-000601,AR Park Group Severity,1,19,19,2005,11,10,314,10.72822586,316000,0,0,0,0,0,0,0,46,0,213,0,3,Unk,L,10407017.3121425|1788439.90598378
"AZ-CNF-000430|2013|1",2013,,AZ-CNF-000430,W2,7,30,190,2013,6,28,179,3.035145,130000,0,0,0,0,0,0,0,133,0,390,0,3,Unk,H,-1389942.27801024|-581398.788053319
"BTU 13309|2002|1",2002,CA,BTU 13309,RIDGE,11,7,311,2002,11,6,310,0.0404686,0,0,1,10,0,0,0,0,109,0,109,0,4,Unk,,10407017.3121425|1788439.90598378
"CA-BDC-14267|2002|1",2002,CA,CA-BDC-14267,HELENDALE,5,11,131,2002,5,9,129,0.1618744,0,0,0,0,0,0,0,0,101,0,101,0,4,Unk,,10407017.3121425|1788439.90598378
"CA-BDC-21652|2001|1",2001,CA,CA-BDC-21652,Cypress,7,18,199,2001,7,18,199,0.202343,0,0,0,0,0,0,0,0,100,0,100,0,3,Unk,,10407017.3121425|1788439.90598378
"CA-BDC-3906|2003|1",2003,CA,CA-BDC-3906,Jordan,2,7,38,2003,2,4,35,0.0202343,0,0,0,0,0,0,0,0,34,9,49,18,3,Unk,,10407017.3121425|1788439.90598378
